"Post_title","Post_link","Post_type","Campaign_name","Posted_by","Created_date","Campaign_start_date","Campaign_end_date","Audience","Impressions","Views","Offsite_Views","Clicks","Click_through_rate_CTR","Likes","Comments","Reposts","Follows","Engagement_rate","Content_Type","Page"
"We're #hiring a new #Medical_Writing_Associate in Giza, Al Jizah. 
Apply today or share this post with your network.","https://www.linkedin.com/feed/update/urn:li:activity:7219655765442056193","Organic",NA,"Eman Hamdy Enab, ongoing SHRM-SCP",2024-07-18,NA,NA,"All followers",7330,NA,NA,476,0.0649386048316956,49,5,19,NA,0.0748976841568947,NA,"Dataclin_Group"
"We're #hiring a #Senior_Graphic_Designer in Giza, Al Jizah. 
Apply today or share this post with your network.
","https://www.linkedin.com/feed/update/urn:li:activity:7218590277324664836","Organic",NA,"Eman Hamdy Enab, ongoing SHRM-SCP",2024-07-15,NA,NA,"All followers",1981,NA,NA,69,0.0348308943212032,9,1,4,NA,0.0418980307877064,NA,"Dataclin_Group"
"We're #hiring a new #Medical_Writing_Manager in Giza, Al Jizah. 
Apply today or share this post with your network.","https://www.linkedin.com/feed/update/urn:li:activity:7218585731600949248","Organic",NA,"Eman Hamdy Enab, ongoing SHRM-SCP",2024-07-15,NA,NA,"All followers",1852,NA,NA,96,0.0518358536064625,4,0,0,NA,0.0539956800639629,NA,"Dataclin_Group"
"July is Sarcoma Cancer Awareness Month. Sarcoma is a rare and often aggressive form of cancer that arises in the bones and soft tissues, affecting thousands of people worldwide each year. Despite its rarity, the impact on patients and their families is profound.

As a Contract Research Organization, we are committed to supporting the fight against sarcoma through rigorous research and clinical trials. Together, we can bring hope and make strides towards a future free from sarcoma. 

#DataClinGroup 
#SarcomaAwarenessMonth #ResearchForACure #FightSarcoma","https://www.linkedin.com/feed/update/urn:li:activity:7218183846083608576","Organic",NA,"Mina Adly",2024-07-14,NA,NA,"All followers",1463,NA,NA,24,0.0164046473801136,17,0,1,NA,0.0287081338465214,NA,"Dataclin_Group"
"We're #hiring a new #Senior_Graphic_Designer in Giza, Al Jizah. 
You can apply today or share this post with your network.

#design #graphicdesign #vacancy #job #cro #pharma 
","https://www.linkedin.com/feed/update/urn:li:activity:7211704737807683584","Organic",NA,"Eman Hamdy Enab, ongoing SHRM-SCP",2024-06-26,NA,NA,"All followers",2007,NA,NA,58,0.0288988538086414,1,2,2,NA,0.0313901342451572,NA,"Dataclin_Group"
"Interested candidates, please to share their CVs to careers@dataclin.com","https://www.linkedin.com/feed/update/urn:li:activity:7210669143472164864","Organic",NA,"Eman Hamdy Enab, ongoing SHRM-SCP",2024-06-23,NA,NA,"All followers",1670,NA,NA,178,0.106586828827858,10,1,1,NA,0.113772451877594,NA,"Dataclin_Group"
"We're #hiring a new Clinical Trial Assistant in Giza, Al Jizah. 
You can apply today or share this post with your network.

#clinicaltrialassistant #clinicalresearch #vacancy #job #cro","https://www.linkedin.com/feed/update/urn:li:activity:7210668279059648512","Organic",NA,"Eman Hamdy Enab, ongoing SHRM-SCP",2024-06-23,NA,NA,"All followers",13410,NA,NA,904,0.0674123764038086,88,20,38,NA,0.0782997757196426,NA,"Dataclin_Group"
"DataClin wishes you and your loved ones a blessed Eid al-Adha filled with peace, blessings, and cherished moments. 🌙🕋 #DataClinGroup #HappyEid #DataClinEidAl-Adha","https://www.linkedin.com/feed/update/urn:li:activity:7207750998574981120","Organic",NA,"Mina Adly",2024-06-15,NA,NA,"All followers",1666,500,NA,37,0.0222088843584061,24,0,5,NA,0.0396158471703529,"Video","Dataclin_Group"
"The Africa Health Excon conference has come to a close, and we are grateful to have been a part of it. Our CEO and Chairman, Dr. Mosaad Morsi, delivered an insightful and thought-provoking talk on Egypt's great potential to become a hub for clinical trials, and how we can turn challenges into opportunities.

We would like to extend our sincere thanks to the participants who shared their insights with us:

Contributions towards Evolving Clinical Trials in Africa:
- Dr. Heba Khalil 
- Dr. sahar Ebrahim 
- Dr. Shaimaa magdy
- Dr. Habiba Ghozzi 

Your contributions helped make this a truly enriching event.

#AfricaHealthExcon #ClinicalTrials #MedicalResearch #HealthcareAdvancement","https://www.linkedin.com/feed/update/urn:li:activity:7204523054448783363","Organic",NA,"Mina Adly",2024-06-06,NA,NA,"All followers",2630,NA,NA,831,0.315969586372375,58,0,3,NA,0.339163511991501,NA,"Dataclin_Group"
"The Africa Health Excon conference was a resounding success, and we are grateful to have been a part of it. Our CEO and Chairman Dr Mosaad Morsi and our General Manager/ Medical & Research Director Dr. Mohamad Taha, MD, MSc., gave an insightful talk on our expansion of clinical trials across the African continent. and our Vice General Manager and Clinical Research Manager, Hussein Fathy, MSc. as the moderator of the talk helping keep the discussions flowing in a smooth and engaging way, gave a talk titled ""Let's Go Business for Africa”.","https://www.linkedin.com/feed/update/urn:li:activity:7204217184133226497","Organic",NA,"Mohamad Taha, MD, MSc.,",2024-06-05,NA,NA,"All followers",665,NA,NA,170,0.255639106035233,14,0,1,NA,0.27819550037384,NA,"Dataclin_Group"
"The Africa Health Excon conference was a resounding success, and we are grateful to have been a part of it. Our CEO and Chairman Dr Mosaad Morsi and our General Manager/ Medical & Research Director Dr. Mohamad Taha, MD, MSc., gave an insightful talk on our expansion of clinical trials across the African continent. and our Vice General Manager and Clinical Research Manager, Hussein Fathy, MSc. as the moderator of the talk helping keep the discussions flowing in a smooth and engaging way, gave a talk titled ""Let's Go Business for Africa”. 

In this talk, they discussed our expansion of clinical trials across the African continent, as well as the scientific exploration, collaboration, and advancements in healthcare that are crucial for the region. 

We would like to extend our sincere thanks to the esteemed participants who shared their valuable insights with us:

- Dr. Heba Khalil 
- Dr. Samer El-Refaie BScPh.MBA 
- Dr. Ahmed Abu Taleb 
- Dr. Sherif Abdel Wahab Roushdy 
- Dr. Ahmed Hamouda 

Your contributions helped make this a truly enriching event, and we look forward to continuing our work together to drive progress in the African healthcare landscape.

#AfricaHealthExcon #ClinicalTrials #MedicalResearch #BusinessExpansion #HealthcareAdvancement","https://www.linkedin.com/feed/update/urn:li:activity:7204143973467086848","Organic",NA,"Mina Adly",2024-06-05,NA,NA,"All followers",4758,NA,NA,2184,0.459016382694244,96,0,6,NA,0.480453968048096,NA,"Dataclin_Group"
"We're #hiring a new Business Development Representative in Giza, Al Jizah. You can apply today or share this post with your network.

#businessdevelopment #business #vacancy #job","https://www.linkedin.com/feed/update/urn:li:activity:7204132664927248384","Organic",NA,"Eman Hamdy Enab, ongoing SHRM-SCP",2024-06-05,NA,NA,"All followers",2374,NA,NA,90,0.0379106998443604,10,0,7,NA,0.0450716093182564,NA,"Dataclin_Group"
"We're excited that Dr. Mohamad Taha, MD, MSc.,  General Manager of DataClin and Medical and Research Director will be giving a talk at the upcoming Africa Excon conference this premier industry event brings together key players in clinical research, medical technology, and healthcare across the African continent. 

This conference provides a valuable platform for thought-provoking discussions and important networking opportunities within these vital sectors.

We look forward to the insights and connections that will emerge from this impactful event.

#DataClinGroup 
#AfricaExcon #ClinicalResearch #MedicalTechnology #HealthcareInnovation #AfricanMedicalIndustry #IndustryConference #NetworkingOpportunities","https://www.linkedin.com/feed/update/urn:li:activity:7203404205993136128","Organic",NA,"Mina Adly",2024-06-03,NA,NA,"All followers",1786,NA,NA,107,0.0599104128777981,14,0,1,NA,0.0683090686798096,NA,"Dataclin_Group"
"Dataclin team was absolutely thrilled to participate in the TCIS Africa conference this year! 

It was an incredible experience to connect with such a dynamic and innovative community of industry leaders from across the region. 

The event provided a fantastic platform to share our latest research and insights, as well as explore exciting new opportunities for collaboration. 

#TCISAfrica #DataclinAtTCIS #IndustryLeaders #Innovation #Collaboration""","https://www.linkedin.com/feed/update/urn:li:activity:7200842517909508097","Organic",NA,"Mina Adly",2024-05-27,NA,NA,"All followers",3537,NA,NA,985,0.278484582901001,56,0,2,NA,0.294882655143738,NA,"Dataclin_Group"
"🌟 **Proud to Partner with SEHA for Clinical Research Training on International Clinical Trials Day!** 🌟

At DataClin Group, we are dedicated to advancing the skills and knowledge of research professionals in the field of clinical studies. On this International Clinical Trials Day, we are thrilled to have partnered with Abu Dhabi Health Services Company- SEHA - شركة أبوظبي للخدمات الصحية - صحة  to deliver our CPD-certified Evidence-Based Medicine Training Program in Biostatistics.

This comprehensive one-day course is designed to equip SEHA’s research team with essential skills in designing and analyzing clinical studies, contributing significantly to the advancement of evidence-based medicine. We are confident that this collaboration will enhance their research capabilities and foster many more educational opportunities.

We look forward to seeing the positive impact this training will have on SEHA’s research endeavors and to achieving new milestones together!

#DataClin #ADHRC #ResearchEducation #EvidenceBasedMedicine #ProfessionalDevelopment #BiostatisticsTraining #SEHA #ClinicalResearch","https://www.linkedin.com/feed/update/urn:li:activity:7198404188509241344","Organic",NA,"Ahmed Kamel AbdelRazek",2024-05-20,NA,NA,"All followers",1308,NA,NA,170,0.129969418048859,8,0,1,NA,0.136850148439407,NA,"Dataclin_Group"
"Shining a Light on Diabetes: Join us this Diabetes Awareness Week as we, the Contract Research Organization (CRO) community, come together to raise awareness and support those affected by this condition. Together, we can make a difference in the lives of individuals living with diabetes. Let's collaborate and bring our expertise to drive innovation in diabetes research. #DataClin #DiabetesAwarenessWeek #CROCommunity #MakingADifference","https://www.linkedin.com/feed/update/urn:li:activity:7198265650304188416","Organic",NA,"Mina Adly",2024-05-20,NA,NA,"All followers",872,NA,NA,22,0.0252293571829796,9,0,0,NA,0.0355504602193832,NA,"Dataclin_Group"
"We're #hiring a new Business Development Representative in Giza, Al Jizah. Apply today or share this post with your network.","https://www.linkedin.com/feed/update/urn:li:activity:7197957290052747266","Organic",NA,"Eman Hamdy Enab, ongoing SHRM-SCP",2024-05-19,NA,NA,"All followers",1581,NA,NA,74,0.0468058176338673,5,0,2,NA,0.0512333959341049,NA,"Dataclin_Group"
"DataClin CRO Group is looking to hire
Position: #Junior_General_Accountant“
Location: Giza, Egypt

**The work period is #temporary and will be for 4 months.**

#Role_and_responsibilities:
• Preparing and entering all accounting entries into the QuickBooks system.
• Maintain records of bills and creditors' payments. Maintain records of all transactions and follow up on outstanding payments.
• Follow up and record project costs and provide cost and profitability reports.
• Issuing operating procedures as required
• Responsible for preparing accounts payable and invoices and processing purchase orders and petty cash.
• Maintain files of all relevant documents and billing control systems.
• Handle all management and purchasing responsibilities.
• Liaise with a financial advisor and prepare tax returns, ensuring compliance with payment, reporting, and other tax requirements.
• Maintain property and equipment inventory records, and record information such as property description, value, and location.
• Monitor all taxes and submit reports.
• Oversee the day-to-day operations of management and staff.
• Ensure that the office has the necessary supplies and that all equipment is properly maintained.
• Work with the accounting and management team.
• Perform other duties as assigned.

If you see yourself in this job, please send your CV/Resume to careers@dataclin.com","https://www.linkedin.com/feed/update/urn:li:activity:7189293012127010816","Organic",NA,"Eman Hamdy Enab, ongoing SHRM-SCP",2024-04-25,NA,NA,"All followers",1500,NA,NA,74,0.0493333339691162,7,0,1,NA,0.054666668176651,NA,"Dataclin_Group"
"Looking for expert site management in clinical trials? Let us handle the complexities while your team focuses on patient care and research excellence. With Dataclin's comprehensive solutions, we optimize efficiency, ensure protocol compliance, accelerate timelines, and enhance data quality. Contact us today to drive your research success. 

#SiteManagement #ClinicalResearch #CRO #DataclinGroup","https://www.linkedin.com/feed/update/urn:li:activity:7188425183672598528","Organic",NA,"Mina Adly",2024-04-23,NA,NA,"All followers",631,NA,NA,17,0.0269413627684116,1,0,1,NA,0.0301109347492456,NA,"Dataclin_Group"
"Today is #IBSAwarenessDay, a time to shed light on the complexities of Irritable Bowel Syndrome. 

IBS is far more than just a common digestive issue. IBS is a chronic, often debilitating condition that can cause severe abdominal pain, unpredictable bowel habits, bloating, and a host of other symptoms that significantly impact quality of life. Yet, IBS remains widely misunderstood and stigmatized. It's time to break the silence and empower those affected to seek the care and support they deserve. 

By spreading knowledge and awareness, we can encourage earlier diagnosis, access to effective treatments, and a greater sense of community for IBS patients.

Let's amplify the voices of patients, caregivers, healthcare professionals, and researchers who are dedicated to improving outcomes and quality of life for the IBS community. Together, we can destigmatize this condition and ensure those living with IBS feel heard, validated, and empowered.

#DataClinGroup #BreakTheStigma #EmpowerIBS","https://www.linkedin.com/feed/update/urn:li:activity:7187048936535183360","Organic",NA,"Mina Adly",2024-04-19,NA,NA,"All followers",781,NA,NA,19,0.0243277847766876,7,0,1,NA,0.0345710627734661,NA,"Dataclin_Group"
"Celebrating World Hemophilia Day! 

As we continue our unwavering commitment to empowering hemophilia research and care! On this significant day, we honor the strength and resilience of individuals living with hemophilia while raising awareness about this complex bleeding disorder. As one of the leading research organizations, we are dedicated to driving medical advancements and improving patient care in the field of hemophilia. 

Through our advanced research and clinical trials, we strive to uncover treatments, enhance disease management strategies, and ultimately enhance the quality of life for hemophilia patients worldwide. 

By harnessing the power of data and innovative healthcare solutions, we aim to make a lasting global impact when it comes to bleeding disorders.

let's recognize the vital importance of research, highlight the significance of clinical trials, and promote healthcare innovation. 

#DataClinGroup #HemophiliaResearch #PatientCare #MedicalAdvancements #GlobalImpact #BleedingDisorders #ResearchMatters #ClinicalTrials #HealthcareInnovation #WorldHemophiliaDay","https://www.linkedin.com/feed/update/urn:li:activity:7186350774757515264","Organic",NA,"Mina Adly",2024-04-17,NA,NA,"All followers",1050,NA,NA,23,0.0219047628343105,13,0,1,NA,0.0352380946278572,NA,"Dataclin_Group"
"On this blessed occasion of Eid al Fitr, DataClin Group wishes you and your loved ones a happy and joyful Eid. May this special Event bring you peace, love, and happiness. Wishing you a blessed Eid filled with blessings and happiness ! 
#EidMubarak #DataClinGroup  #BlessedEid #EidCelebrations #PeaceAndLove #Eid2023 #EidBlessings","https://www.linkedin.com/feed/update/urn:li:activity:7183385789127397376","Organic",NA,"Mina Adly",2024-04-09,NA,NA,"All followers",1106,365,NA,35,0.0316455699503422,13,0,5,NA,0.047920435667038,"Video","Dataclin_Group"
"Ramadan sets the stage for communal togetherness, prompting us to convene for our annual Iftar and rejoice as a collective to cultivate meaningful connections, exchange blessings, and fortify the ties that bind us. With heartfelt wishes, DataClin’s team extends a Ramadan Kareem to everyone! 🌙✨ #Ramadan #Iftar #Community #Blessings #Connections #RamadanKareem #DataClinGroup","https://www.linkedin.com/feed/update/urn:li:activity:7181602295502028801","Organic",NA,"Mina Adly",2024-04-04,NA,NA,"All followers",4481,NA,NA,1236,0.275831282138824,67,1,10,NA,0.29323810338974,NA,"Dataclin_Group"
"DataClin CRO Group is looking to hire
Position: #Junior_General_Accountant 
Full-time Job
Location: Giza, Egypt

#Role_and_responsibilities:
 • Preparing and entering all accounting entries into the QuickBooks system.
 • Maintain records of bills and creditors' payments. Maintain records of all transactions and follow up on outstanding payments.
 • Follow up and record project costs and provide cost and profitability reports.
 • Issuing operating procedures as required
 • Responsible for preparing accounts payable and invoices and processing purchase orders and petty cash.
 • Maintain files of all relevant documents and billing control systems.
 • Handle all management and purchasing responsibilities.
 • Liaise with a financial advisor and prepare tax returns, ensuring compliance with payment, reporting and other tax requirements.
 • Maintain property and equipment inventory records, and record information such as property description, value and location.
 • Monitor all taxes and submit reports.
 • Oversee the day-to-day operations of management and staff.
 • Ensure that the office is provided with the necessary supplies and that all equipment is operating and maintained properly.
 • Work with the accounting and management team.

If you see yourself in this job, please send your CV/Resume to careers@dataclin.com","https://www.linkedin.com/feed/update/urn:li:activity:7180336589871464448","Organic",NA,"Eman Hamdy Enab, ongoing SHRM-SCP",2024-03-31,NA,NA,"All followers",1556,NA,NA,64,0.041131105273962,8,0,4,NA,0.0488431863486767,NA,"Dataclin_Group"
"Exciting news ahead as our SMO team joins forces with MASRI-CRC to improve healthcare outcomes. A huge thanks to Professor Hesham Elghazaly, Professor Fatma Ebeid, and the MASRI team for their invaluable support! 

#DataClinGroup #ClinicalTrials #Innovation #MedicalResearch #HealthcareImprovement #MASRI #Collaboration","https://www.linkedin.com/feed/update/urn:li:activity:7177611425220091906","Organic",NA,"Mina Adly",2024-03-24,NA,NA,"All followers",1645,NA,NA,325,0.197568386793137,7,0,2,NA,0.203039512038231,NA,"Dataclin_Group"
"From chromosomal uniqueness to boundless potential, every day is a celebration of remarkable individuals on #WorldDownSyndromeDay.

Did you know Down syndrome is caused by an extra copy of chromosome 21? It's a genetic condition that affects approximately 1 in every 700 babies born worldwide.

Join us in embracing the extraordinary abilities and diverse journeys that unite us all.

#DataClinGroup #InclusionRevolution #BeyondLimits","https://www.linkedin.com/feed/update/urn:li:activity:7176696197108097024","Organic",NA,"Mina Adly",2024-03-21,NA,NA,"All followers",786,NA,NA,16,0.0203562341630459,5,0,0,NA,0.0267175566405058,NA,"Dataclin_Group"
"Mothers are our first best friends, also our confidantes, mentors, and professional role models. We are fortunate to work with such a diverse group of individuals!

Nothing in this world compares to a mother's love. Happy Mother's Day to all the wonderful mothers in the world, including those in DataClin. We appreciate you being such a blessing to us all.
 
#DataClinGroup
#Mothersday 
#ThankyouMom
#CelebratingMothersDay","https://www.linkedin.com/feed/update/urn:li:activity:7176597566057234432","Organic",NA,"Mina Adly",2024-03-21,NA,NA,"All followers",870,NA,NA,22,0.0252873562276363,9,0,1,NA,0.0367816090583801,NA,"Dataclin_Group"
"DataClin CRO Group is looking to hire
Position: #Junior_General_Accountant 
Full-time Job
Location: Giza, Egypt

#Role_and_responsibilities:
 • Preparing and entering all accounting entries into the QuickBooks system.
 • Maintain records of bills and creditors' payments. Maintain records of all transactions and follow up on outstanding payments.
  • Follow up and record project costs and provide cost and profitability reports.
  • Issuing operating procedures as required
  • Responsible for preparing accounts payable and invoices and processing purchase orders and petty cash.
  • Maintain files of all relevant documents and billing control systems.
  • Handle all management and purchasing responsibilities.
  • Liaise with a financial advisor and prepare tax returns, ensuring compliance with payment, reporting and other tax requirements.
  • Maintain property and equipment inventory records, and record information such as property description, value and location.
  • Monitor all taxes and submit reports.
  • Oversee the day-to-day operations of management and staff.
  • Ensure that the office is provided with the necessary supplies and that all equipment is operating and maintained properly.
  • Work with the accounting and management team.

If you see yourself in this job, please send your CV/Resume to careers@dataclin.com","https://www.linkedin.com/feed/update/urn:li:activity:7176159861376770049","Organic",NA,"Eman Hamdy Enab, ongoing SHRM-SCP",2024-03-20,NA,NA,"All followers",1347,NA,NA,50,0.0371195264160633,5,0,3,NA,0.0430586487054825,NA,"Dataclin_Group"
"If you see yourself in this job, please send your updated CV/Resume to careers@dataclin.com","https://www.linkedin.com/feed/update/urn:li:activity:7175818417034125313","Organic",NA,"Eman Hamdy Enab, ongoing SHRM-SCP",2024-03-19,NA,NA,"All followers",1867,NA,NA,93,0.0498125329613686,13,0,5,NA,0.0594536699354649,NA,"Dataclin_Group"
"Wishing you and your families Ramadan Mubarak!
May you be blessed with happiness and prosperity🌙✨

#DataClinGroup 
#RamadanKareem 
#ramadan2024","https://www.linkedin.com/feed/update/urn:li:activity:7172645673517936640","Organic",NA,"Mina Adly",2024-03-10,NA,NA,"All followers",1019,335,NA,24,0.0235525015741587,17,0,4,NA,0.0441609434783459,"Video","Dataclin_Group"
"Happy International Women's Day to all the wonderful women in our lives !

Women in the workplace infuse the environment with their courage, kindness, and passion.
 
We wanted to support gender equality in the workplace and honour our female employees who have been instrumental in the expansion of our thriving company ""DataClin,"" on this particular occasion.
 
Join us in sending our female coworkers the best of luck, health, and happiness.
 
#DataClinGroup #EmpoweredWomen
#WomensDayCelebration #IWD2024  #EqualityForAll #EmbraceEquity
#StrongWomen #ProudWomen","https://www.linkedin.com/feed/update/urn:li:activity:7171759133799399424","Organic",NA,"Mina Adly",2024-03-08,NA,NA,"All followers",833,NA,NA,21,0.0252100843936205,13,0,1,NA,0.0420168079435825,NA,"Dataclin_Group"
